PM2.5,NO,NH3,CO,SO2,O3,Benzene,AQI,AQI_Bucket
83.13,6.93,28.71,6.93,49.52,59.76,0.02,209.0,Poor
79.84,13.85,28.68,13.85,48.49,97.07,0.04,328.0,Very Poor
94.52,24.39,32.66,24.39,67.39,111.33,0.24,514.0,Severe
135.99,43.48,42.08,43.48,75.23,102.7,0.4,782.0,Severe
178.33,54.56,35.31,54.56,55.04,107.38,0.46,914.0,Severe
139.7,30.61,28.4,30.61,33.79,73.6,0.17,660.0,Severe
80.65,2.37,22.83,2.37,25.73,47.3,0.0,294.0,Poor
58.36,2.6,21.39,2.6,32.66,53.54,0.0,149.0,Moderate
79.29,1.16,26.94,1.16,67.41,59.3,0.0,190.0,Moderate
88.7,7.29,31.32,7.29,80.09,44.76,0.0,247.0,Poor
74.28,8.92,27.3,8.92,54.28,47.42,0.0,379.0,Very Poor
113.93,4.32,24.27,4.32,48.73,39.94,0.02,341.0,Very Poor
105.39,1.41,18.21,1.41,35.91,56.15,0.0,256.0,Poor
66.52,6.34,23.8,6.34,66.58,53.14,9.7,388.0,Very Poor
65.04,14.19,30.1,14.19,65.91,31.88,7.72,288.0,Poor
103.36,18.18,39.56,18.18,80.43,40.11,11.29,510.0,Severe
177.33,37.49,47.58,37.49,99.72,36.47,17.0,761.0,Severe
113.25,15.55,30.5,15.55,69.71,33.78,10.47,475.0,Severe
99.7,19.85,28.1,19.85,73.23,30.57,10.28,536.0,Severe
80.61,15.96,21.04,15.96,54.7,36.2,8.14,479.0,Severe
100.79,16.24,25.93,16.24,43.11,37.43,10.0,592.0,Severe
107.99,11.25,30.09,11.25,84.86,31.94,9.2,427.0,Severe
140.29,33.84,36.14,33.84,101.53,40.98,20.12,588.0,Severe
239.96,61.95,46.25,61.95,84.87,33.55,22.14,1141.0,Severe
142.96,45.45,48.21,45.45,62.96,34.77,7.35,669.0,Severe
238.41,77.7,55.07,77.7,89.07,37.3,50.61,1247.0,Severe
118.72,12.56,32.01,12.56,61.54,38.8,16.89,411.0,Severe
52.99,2.23,10.45,2.23,32.76,67.25,3.85,292.0,Poor
60.78,9.07,18.21,9.07,29.48,34.75,2.05,189.0,Moderate
91.83,12.99,28.71,12.99,39.71,38.46,2.69,408.0,Severe
93.88,18.21,29.38,18.21,62.75,46.79,5.21,383.0,Very Poor
173.01,48.44,42.27,48.44,78.76,59.39,9.72,780.0,Severe
71.56,3.51,16.83,3.51,30.28,57.16,3.95,190.0,Moderate
119.8,4.13,24.07,4.13,50.35,50.49,4.85,233.0,Poor
106.71,5.39,25.59,5.39,38.85,60.17,5.58,297.0,Poor
118.49,4.11,28.94,4.11,54.2,53.61,7.9,330.0,Very Poor
106.01,4.28,27.31,4.28,70.29,40.91,9.45,252.0,Poor
97.34,3.67,21.58,3.67,64.39,45.69,5.61,244.0,Poor
83.92,6.42,25.03,6.42,67.53,34.94,8.24,234.0,Poor
49.51,3.1,14.16,3.1,48.33,37.95,4.34,219.0,Poor
30.76,2.72,14.14,2.72,43.62,54.78,3.58,118.0,Moderate
50.29,5.34,29.84,5.34,59.23,45.44,5.45,231.0,Poor
57.69,25.36,29.48,25.36,58.33,52.87,9.55,286.0,Poor
105.06,46.24,37.05,46.24,53.62,45.65,20.89,883.0,Severe
94.1,22.14,36.53,22.14,61.31,46.77,17.5,720.0,Severe
111.89,22.25,43.29,22.25,66.44,50.57,18.03,570.0,Severe
108.59,25.38,39.34,25.38,75.8,46.68,15.78,589.0,Severe
130.76,45.61,41.03,45.61,65.77,41.58,24.12,818.0,Severe
143.55,27.3,31.15,27.3,50.98,35.38,18.61,737.0,Severe
165.07,23.83,34.48,23.83,64.32,43.79,29.14,585.0,Severe
166.85,17.93,43.3,17.93,79.71,53.44,24.09,616.0,Severe
147.38,6.4,35.82,6.4,46.89,17.94,14.23,437.0,Severe
158.25,5.86,27.89,5.86,142.36,38.54,13.67,321.0,Very Poor
237.76,4.99,21.8,4.99,96.28,39.77,8.68,372.0,Very Poor
133.37,3.88,17.99,3.88,57.34,39.66,5.76,339.0,Very Poor
133.3,6.52,20.0,6.52,51.58,59.03,9.94,339.0,Very Poor
96.04,3.8,20.07,3.8,62.42,46.61,7.54,324.0,Very Poor
77.69,5.24,18.87,5.24,100.48,27.14,9.49,222.0,Poor
53.07,4.17,13.82,4.17,40.36,21.76,4.47,169.0,Moderate
63.11,5.63,15.5,5.63,38.21,4.72,5.2,220.0,Poor
120.96,4.23,20.86,4.23,35.54,35.66,6.05,303.0,Very Poor
138.63,5.65,25.47,5.65,87.43,29.77,11.25,314.0,Very Poor
144.36,15.82,30.69,15.82,66.39,27.34,17.22,378.0,Very Poor
85.03,3.3,26.7,3.3,59.16,35.89,7.58,415.0,Severe
61.06,3.52,14.03,3.52,8.08,19.54,0.0,126.0,Moderate
39.42,5.28,19.56,5.28,17.66,31.3,0.0,175.0,Moderate
111.86,3.89,22.51,3.89,15.84,31.23,0.0,226.0,Poor
58.37,5.74,21.71,5.74,25.9,43.92,2.15,244.0,Poor
95.37,18.01,26.23,18.01,13.59,41.64,1.21,315.0,Very Poor
141.3,30.8,36.88,30.8,41.06,37.66,0.66,678.0,Severe
106.68,19.91,46.38,19.91,31.56,48.49,1.67,774.0,Severe
109.48,4.3,20.27,4.3,46.6,31.34,0.05,285.0,Poor
126.04,6.99,20.18,6.99,79.56,28.71,0.2,321.0,Very Poor
71.22,16.73,21.32,16.73,50.09,28.39,1.38,358.0,Very Poor
97.87,6.3,17.96,6.3,13.85,34.16,0.21,357.0,Very Poor
63.38,3.44,13.28,3.44,24.79,43.62,0.0,189.0,Moderate
80.9,5.7,18.62,5.7,65.44,22.8,0.05,214.0,Poor
103.29,4.55,19.82,4.55,85.42,22.18,0.06,253.0,Poor
107.5,5.29,15.56,5.29,74.37,10.12,0.09,239.0,Poor
138.42,5.05,16.7,5.05,77.74,27.18,0.01,300.0,Poor
129.04,5.69,14.86,5.69,78.27,18.67,0.0,317.0,Very Poor
96.65,4.67,15.9,4.67,39.41,11.83,0.01,240.0,Poor
126.77,15.69,23.93,15.69,93.18,36.71,0.22,344.0,Very Poor
106.15,13.12,23.02,13.12,65.95,81.6,0.3,503.0,Severe
86.31,2.69,10.5,2.69,50.13,90.54,0.47,308.0,Very Poor
83.99,2.73,0.08,2.73,34.06,69.57,0.28,227.0,Poor
65.11,3.14,4.58,3.14,22.27,32.26,0.17,120.0,Moderate
51.03,6.24,20.47,6.24,15.5,31.44,0.0,158.0,Moderate
38.73,8.0,19.28,8.0,20.13,25.7,0.0,177.0,Moderate
61.12,9.94,17.82,9.94,39.69,25.9,0.0,201.0,Poor
58.44,10.68,17.24,10.68,54.69,18.89,0.0,211.0,Poor
61.49,11.44,16.69,11.44,42.66,18.2,0.01,221.0,Poor
65.39,12.3,16.08,12.3,27.96,22.35,0.0,233.0,Poor
100.92,20.42,18.9,20.42,31.9,22.84,4.9,481.0,Severe
97.48,5.31,30.02,5.31,36.05,16.26,10.6,352.0,Very Poor
129.27,14.28,28.33,14.28,70.13,25.4,16.9,327.0,Very Poor
129.58,21.23,28.79,21.23,17.66,34.42,20.53,577.0,Severe
100.57,7.56,18.79,7.56,38.76,38.83,4.92,411.0,Severe
130.34,7.14,17.43,7.14,52.07,29.05,5.05,212.0,Poor
53.24,8.05,15.86,8.05,36.23,21.58,5.23,280.0,Poor
42.0,10.44,18.16,10.44,17.0,25.5,0.0,162.0,Moderate
83.69,10.89,17.18,10.89,41.12,35.61,12.62,569.0,Severe
38.88,2.18,16.28,2.18,26.4,12.47,3.0,128.0,Moderate
46.89,2.96,16.17,2.96,41.96,10.74,3.41,129.0,Moderate
70.96,4.12,15.47,4.12,23.67,16.01,3.72,152.0,Moderate
53.66,4.23,14.43,4.23,14.46,45.64,2.39,176.0,Moderate
45.49,4.26,13.73,4.26,12.85,71.85,2.5,167.0,Moderate
60.86,5.27,16.61,5.27,14.91,41.19,3.03,106.0,Moderate
51.93,13.71,17.87,13.71,15.33,12.88,6.32,231.0,Poor
77.87,6.67,17.12,6.67,46.82,16.67,4.79,327.0,Very Poor
57.59,5.6,15.47,5.6,41.68,25.51,2.64,174.0,Moderate
77.22,7.02,15.47,7.02,71.97,9.56,3.74,185.0,Moderate
45.29,7.25,12.74,7.25,18.64,6.32,2.73,179.0,Moderate
103.78,6.36,13.9,6.36,7.76,15.27,0.82,211.0,Poor
25.14,6.01,18.73,6.01,38.05,38.52,0.0,192.0,Moderate
87.03,8.05,17.88,8.05,23.84,48.22,0.0,310.0,Very Poor
89.6,6.59,19.84,6.59,48.05,44.78,0.0,223.0,Poor
80.69,6.86,16.07,6.86,39.85,32.65,0.0,192.0,Moderate
44.75,7.76,16.53,7.76,9.89,8.07,0.0,191.0,Moderate
38.11,7.41,11.62,7.41,3.13,6.69,2.5,184.0,Moderate
45.5,8.56,15.59,8.56,0.76,3.82,5.09,220.0,Poor
